Category,Subcategory,Region,State,Date,Product Name,Product ID,Sales,Profit,Discount,Size,Available Quantity,Sold Quantity,Color
Clothes,Shirts,South,Texas,2022-03-13,Clothes Shirts,9475,404.22,69.97,72.27,XL,551,872,Gray
Accessories,Jewelry,East,Florida,2023-09-02,Accessories Jewelry,3246,262.44,77.94,25.79,S,555,1066,Orange
Shoes,Running Shoes,North,Georgia,2022-06-23,Shoes Running Shoes,6154,141.3,40.46,9.0,S,503,858,Gray
Shoes,Heels,North,New York,2023-08-19,Shoes Heels,9356,189.49,56.41,22.02,S,564,844,White
Accessories,Wallets,South,Georgia,2023-08-15,Accessories Wallets,7901,248.27,49.28,25.93,L,661,802,Red
Shoes,Hiking Boots,South,Texas,2023-09-03,Shoes Hiking Boots,4346,51.35,15.39,5.26,S,628,899,Yellow
Shoes,Tennis Shoes,North,New York,2023-09-08,Shoes Tennis Shoes,5560,121.72,31.76,22.5,S,625,1066,Gray
Shoes,Basketball Shoes,North,Georgia,2022-07-19,Shoes Basketball Shoes,7229,271.16,76.4,36.02,XL,685,962,Black
Shoes,Flats,West,Michigan,2022-02-10,Shoes Flats,8050,47.83,8.79,3.79,M,550,1055,Orange
Shoes,Basketball Shoes,South,New York,2023-10-16,Shoes Basketball Shoes,7238,65.13,14.24,12.92,M,503,984,White
Accessories,Hats,South,Georgia,2023-09-27,Accessories Hats,9410,334.4,38.39,50.74,L,563,1018,Pink
Accessories,Scarves,North,Pennsylvania,2023-04-13,Accessories Scarves,8296,96.17,14.02,9.99,M,536,1051,Purple
Accessories,Wallets,East,Illinois,2022-07-13,Accessories Wallets,8574,426.94,89.28,80.32,M,527,971,White
Clothes,Suits,West,Pennsylvania,2023-05-08,Clothes Suits,4279,166.56,40.65,12.59,XL,569,809,White
Shoes,Running Shoes,North,California,2023-07-09,Shoes Running Shoes,1377,120.66,26.89,22.93,M,506,804,Green
Clothes,Pajamas,North,Texas,2022-10-22,Clothes Pajamas,7737,483.1,104.63,92.87,L,520,944,White
Clothes,Blouses,South,California,2022-11-02,Clothes Blouses,6565,227.52,63.59,37.58,M,577,988,Gray
Accessories,Belts,South,California,2023-10-02,Accessories Belts,1726,487.15,138.67,69.83,S,538,1046,Green
Clothes,Dresses,North,Michigan,2022-03-28,Clothes Dresses,2565,451.78,72.1,67.63,S,621,952,White
Shoes,Loafers,East,California,2023-04-26,Shoes Loafers,9219,357.67,86.46,45.37,S,576,1019,White
Accessories,Bags,West,Pennsylvania,2023-12-19,Accessories Bags,4679,60.71,6.74,6.19,XL,652,845,Black
Clothes,Jeans,East,New York,2022-03-28,Clothes Jeans,7814,122.87,31.57,8.61,XL,506,972,Orange
Shoes,Hiking Boots,North,Georgia,2023-06-21,Shoes Hiking Boots,6025,231.69,69.29,12.61,XL,547,1055,Purple
Shoes,Basketball Shoes,West,Michigan,2022-02-27,Shoes Basketball Shoes,3638,166.13,28.87,12.38,XL,556,935,Blue
Accessories,Headbands,North,New York,2022-10-28,Accessories Headbands,8877,104.23,14.88,14.05,S,656,1069,Yellow
Shoes,Sneakers,South,Michigan,2022-07-16,Shoes Sneakers,9712,179.45,35.72,18.31,S,536,814,Orange
Shoes,Boots,West,Texas,2023-01-10,Shoes Boots,2338,493.58,63.66,36.72,XL,513,822,Red
Shoes,Basketball Shoes,West,California,2022-02-08,Shoes Basketball Shoes,9007,389.0,87.74,36.85,S,674,953,Purple
Accessories,Belts,South,California,2023-07-26,Accessories Belts,1444,267.96,31.82,38.41,XL,670,1087,Red
Shoes,Cycling Shoes,North,Illinois,2023-08-25,Shoes Cycling Shoes,2784,327.79,43.9,59.73,L,519,924,Gray
Accessories,Socks,West,Illinois,2022-02-07,Accessories Socks,2143,286.59,38.08,45.41,M,668,877,Pink
Clothes,Underwear,South,Texas,2023-02-05,Clothes Underwear,3926,410.52,86.51,72.86,S,648,969,Blue
Clothes,Hoodies,North,North Carolina,2023-12-25,Clothes Hoodies,6568,476.07,133.88,79.49,M,511,1045,Orange
Clothes,Skirts,North,Florida,2023-02-24,Clothes Skirts,2468,415.99,120.1,33.71,L,631,1039,Orange
Accessories,Bags,South,Florida,2022-03-05,Accessories Bags,8358,83.01,11.72,8.99,XL,634,1017,Black
Accessories,Ties,South,Michigan,2023-02-02,Accessories Ties,1406,366.91,63.38,55.84,L,530,1059,Purple
Accessories,Socks,East,Pennsylvania,2023-10-05,Accessories Socks,7898,224.19,37.5,25.0,XL,690,941,Red
Shoes,Soccer Shoes,South,Florida,2022-10-17,Shoes Soccer Shoes,4742,260.1,34.2,24.53,M,685,986,Green
Accessories,Umbrellas,West,Texas,2022-11-24,Accessories Umbrellas,2440,440.57,59.92,86.42,XL,531,1040,White
Shoes,Heels,North,Ohio,2022-07-13,Shoes Heels,5356,204.33,46.61,20.34,XL,597,1076,Red
Clothes,Jackets,West,North Carolina,2022-05-30,Clothes Jackets,2224,313.58,71.57,44.14,S,671,888,Blue
Clothes,Shirts,West,Texas,2022-02-17,Clothes Shirts,6952,40.71,9.49,3.25,XL,689,914,Purple
Clothes,Jackets,South,Michigan,2023-10-07,Clothes Jackets,4443,288.16,51.53,47.78,S,553,938,Pink
Shoes,Sandals,East,Michigan,2022-03-03,Shoes Sandals,2696,128.89,32.58,13.19,L,584,854,Pink
Shoes,Hiking Boots,East,Ohio,2022-02-15,Shoes Hiking Boots,5761,389.34,97.19,59.44,XL,521,1059,Gray
Shoes,Soccer Shoes,South,Georgia,2022-02-18,Shoes Soccer Shoes,8527,79.15,16.68,9.29,XL,665,877,White
Shoes,Loafers,West,Ohio,2022-10-19,Shoes Loafers,4053,435.19,72.8,85.98,L,503,1025,Red
Shoes,Sneakers,East,California,2023-07-10,Shoes Sneakers,5980,212.69,33.95,16.32,XL,533,836,Purple
Clothes,Underwear,East,North Carolina,2022-03-10,Clothes Underwear,3777,482.18,126.62,91.95,S,506,828,Orange
Shoes,Golf Shoes,West,Ohio,2022-03-18,Shoes Golf Shoes,1587,395.56,81.06,27.66,L,520,887,Blue
Accessories,Necklaces,North,California,2023-07-24,Accessories Necklaces,7514,50.88,5.54,9.86,L,698,881,Yellow
Shoes,Flats,South,Illinois,2022-11-29,Shoes Flats,7369,225.85,25.91,13.39,XL,600,1064,Gray
Accessories,Gloves,South,Florida,2022-08-06,Accessories Gloves,6158,324.99,71.13,57.39,S,700,942,White
Shoes,Golf Shoes,West,Georgia,2023-11-05,Shoes Golf Shoes,5900,91.96,20.43,16.63,S,658,917,Gray
Accessories,Headbands,West,Pennsylvania,2023-06-24,Accessories Headbands,6321,114.25,27.49,19.29,S,511,855,Red
Clothes,Leggings,East,North Carolina,2022-08-16,Clothes Leggings,2942,296.01,83.39,48.55,L,516,973,Green
Shoes,Sandals,West,California,2022-12-29,Shoes Sandals,6411,125.94,18.23,20.56,L,518,1028,Blue
Accessories,Wallets,East,Michigan,2022-04-16,Accessories Wallets,9913,83.17,22.28,9.83,M,598,854,White
Shoes,Golf Shoes,West,Florida,2023-11-26,Shoes Golf Shoes,7166,362.39,86.23,56.77,S,616,840,Orange
Shoes,Sneakers,East,California,2022-09-23,Shoes Sneakers,3008,433.25,85.66,46.84,M,529,817,Pink
Clothes,Dresses,East,Texas,2023-07-18,Clothes Dresses,1041,109.73,32.2,19.88,M,693,838,Yellow
Accessories,Gloves,East,California,2022-09-04,Accessories Gloves,8165,126.54,14.98,25.28,XL,543,944,Green
Shoes,Cycling Shoes,West,Georgia,2022-11-03,Shoes Cycling Shoes,3700,336.92,83.63,54.78,XL,552,842,Red
Accessories,Jewelry,East,California,2023-07-15,Accessories Jewelry,9307,499.31,142.52,33.38,M,616,888,Purple
Accessories,Jewelry,East,North Carolina,2022-07-28,Accessories Jewelry,7615,496.13,83.77,58.52,L,680,1084,White
Clothes,Shirts,North,Illinois,2023-10-14,Clothes Shirts,5674,59.29,8.16,10.23,XL,650,887,Blue
Shoes,Soccer Shoes,West,California,2023-10-02,Shoes Soccer Shoes,8195,73.05,15.14,6.69,S,648,837,Yellow
Accessories,Scarves,West,California,2022-09-22,Accessories Scarves,8404,416.35,94.85,64.85,L,561,872,Blue
Shoes,Flats,West,Illinois,2023-05-17,Shoes Flats,9013,381.93,93.72,73.16,L,525,1076,Red
Clothes,Skirts,South,Georgia,2023-01-24,Clothes Skirts,6269,92.1,18.75,12.86,M,582,838,Yellow
Shoes,Heels,East,North Carolina,2022-10-06,Shoes Heels,9133,90.22,13.14,10.44,S,675,1036,Blue
Clothes,Trousers,West,Michigan,2023-02-03,Clothes Trousers,6978,327.64,77.99,53.3,L,675,986,Yellow
Clothes,Dresses,West,Georgia,2022-08-01,Clothes Dresses,6745,172.6,45.74,31.59,S,680,861,Pink
Accessories,Socks,East,Georgia,2022-06-13,Accessories Socks,1197,249.98,44.37,42.88,S,504,967,White
Shoes,Heels,East,Texas,2022-03-21,Shoes Heels,2168,340.24,82.44,58.35,S,503,901,Gray
Clothes,Underwear,East,New York,2022-05-13,Clothes Underwear,8616,418.8,96.6,83.51,L,527,1083,Red
Accessories,Umbrellas,East,Florida,2022-11-28,Accessories Umbrellas,4832,414.1,50.94,67.15,M,600,958,Red
Shoes,Flats,North,Ohio,2023-12-14,Shoes Flats,3399,402.81,99.72,29.02,XL,662,883,Blue
Accessories,Headbands,South,Texas,2022-05-30,Accessories Headbands,7379,346.45,69.76,31.6,S,700,896,Gray
Clothes,Shorts,South,North Carolina,2022-06-16,Clothes Shorts,4595,332.36,49.66,44.0,XL,627,1019,Purple
Accessories,Necklaces,East,Illinois,2023-06-25,Accessories Necklaces,1453,73.62,18.72,10.32,S,547,1084,Gray
Clothes,Shorts,East,Illinois,2022-02-03,Clothes Shorts,2039,308.7,41.35,54.72,M,611,877,Gray
Clothes,Hoodies,North,Florida,2023-11-03,Clothes Hoodies,8585,391.05,46.23,28.1,L,642,848,Green
Accessories,Scarves,East,North Carolina,2023-11-18,Accessories Scarves,4006,373.26,63.13,44.89,XL,506,1012,Yellow
Accessories,Socks,South,Georgia,2022-09-05,Accessories Socks,2628,316.07,76.09,61.7,L,577,812,Orange
Clothes,Hoodies,North,New York,2022-02-24,Clothes Hoodies,8708,310.58,56.77,30.81,L,503,940,Red
Clothes,Skirts,West,Michigan,2022-04-15,Clothes Skirts,6750,197.57,25.5,25.01,S,531,855,Pink
Shoes,Heels,North,New York,2022-04-13,Shoes Heels,2202,27.25,5.43,4.8,L,507,874,White
Accessories,Gloves,North,North Carolina,2023-08-02,Accessories Gloves,7823,141.07,17.07,9.47,M,612,1045,Red
Shoes,Sandals,South,Georgia,2023-10-12,Shoes Sandals,6598,255.43,30.04,40.89,M,635,840,Black
Clothes,Shorts,West,Georgia,2023-06-04,Clothes Shorts,7049,53.09,8.34,7.89,L,618,874,Orange
Accessories,Sunglasses,North,Illinois,2022-09-05,Accessories Sunglasses,2728,323.31,53.77,44.02,XL,508,979,Green
Accessories,Ties,East,New York,2023-07-03,Accessories Ties,2503,450.41,74.04,82.19,L,589,822,Green
Shoes,Sneakers,South,Florida,2023-09-07,Shoes Sneakers,1233,316.58,36.77,54.78,M,534,967,Orange
Shoes,Heels,South,Michigan,2023-10-15,Shoes Heels,3622,18.03,2.9,2.63,L,591,912,White
Shoes,Sandals,West,New York,2022-10-07,Shoes Sandals,4135,280.32,76.61,35.82,XL,670,1047,Green
Shoes,Sneakers,South,Georgia,2022-03-07,Shoes Sneakers,5286,458.26,56.66,61.55,M,526,1030,White
Shoes,Running Shoes,West,New York,2023-07-11,Shoes Running Shoes,8041,409.86,105.59,63.97,L,695,1077,Black
Clothes,Dresses,South,Georgia,2023-09-11,Clothes Dresses,3523,52.47,15.0,3.58,XL,552,1054,Pink
Shoes,Slippers,East,North Carolina,2023-10-14,Shoes Slippers,1244,51.72,10.93,8.05,XL,645,949,Pink
Clothes,Jeans,North,Pennsylvania,2023-11-12,Clothes Jeans,9776,397.93,41.54,72.53,S,576,1080,White
Accessories,Gloves,East,Georgia,2023-05-10,Accessories Gloves,5144,52.81,10.57,6.0,L,565,867,Gray
Accessories,Keychains,East,Pennsylvania,2023-02-24,Accessories Keychains,9796,185.28,19.17,18.63,S,578,888,Red
Clothes,Suits,North,Ohio,2023-08-04,Clothes Suits,8528,490.74,52.12,93.54,S,594,980,Yellow
Accessories,Gloves,North,California,2022-04-21,Accessories Gloves,8548,341.97,62.78,48.21,L,563,880,Pink
Accessories,Gloves,West,Georgia,2022-02-04,Accessories Gloves,4762,262.53,74.36,43.24,XL,628,1063,Pink
Shoes,Sneakers,South,Georgia,2022-03-19,Shoes Sneakers,4630,318.14,41.64,35.6,M,658,805,Pink
Shoes,Slippers,North,New York,2023-12-18,Shoes Slippers,4889,124.6,16.8,18.8,XL,657,814,Gray
Shoes,Boots,South,Georgia,2023-01-16,Shoes Boots,8135,40.63,10.26,6.6,L,573,813,Green
Clothes,Shorts,North,New York,2023-09-18,Clothes Shorts,1479,246.33,59.74,47.6,L,682,883,Yellow
Clothes,Shirts,West,Michigan,2022-05-11,Clothes Shirts,9259,326.7,80.28,26.2,XL,570,970,Orange
Shoes,Sandals,North,Texas,2022-10-24,Shoes Sandals,6340,154.13,31.9,19.88,M,675,887,Black
Accessories,Watches,North,Illinois,2023-03-12,Accessories Watches,2938,348.6,96.61,18.77,S,689,911,White
Accessories,Necklaces,West,Florida,2023-08-04,Accessories Necklaces,3100,187.95,26.2,24.82,M,542,1056,Orange
Accessories,Socks,West,Illinois,2023-06-20,Accessories Socks,3693,286.54,60.16,32.04,M,661,1087,White
Accessories,Jewelry,East,Pennsylvania,2023-05-11,Accessories Jewelry,8049,108.05,28.81,14.62,L,696,1026,Purple
Accessories,Bags,North,North Carolina,2023-09-22,Accessories Bags,2952,497.3,143.14,48.64,L,646,853,Pink
Accessories,Socks,West,Pennsylvania,2022-08-27,Accessories Socks,4553,328.59,34.53,53.09,L,590,916,Red
Clothes,Underwear,East,Texas,2022-01-23,Clothes Underwear,5218,95.42,17.13,16.63,M,523,835,Orange
Clothes,Blouses,North,Ohio,2022-03-30,Clothes Blouses,8360,16.2,2.12,2.91,XL,548,922,Gray
Shoes,Soccer Shoes,South,Georgia,2022-01-09,Shoes Soccer Shoes,4527,364.84,44.56,72.32,M,573,1026,White
Shoes,Running Shoes,North,Michigan,2023-04-23,Shoes Running Shoes,6095,47.02,7.9,3.94,XL,677,928,Pink
Clothes,Coats,North,Pennsylvania,2022-10-24,Clothes Coats,1280,265.4,49.06,41.8,L,580,1010,Red
Shoes,Flats,North,Georgia,2023-02-18,Shoes Flats,6878,240.04,39.98,45.9,L,668,1069,Green
Accessories,Gloves,East,Ohio,2023-11-11,Accessories Gloves,6617,303.23,76.89,18.99,L,529,869,White
Shoes,Basketball Shoes,South,California,2023-12-14,Shoes Basketball Shoes,3630,208.95,25.16,21.33,L,580,986,Blue
Clothes,Skirts,North,Illinois,2022-04-13,Clothes Skirts,6790,237.8,69.46,45.12,M,652,854,Purple
Clothes,Shorts,West,Florida,2022-03-11,Clothes Shorts,2669,127.21,34.67,7.57,XL,611,957,Green
Accessories,Wallets,East,Pennsylvania,2023-09-12,Accessories Wallets,3403,279.8,71.38,30.06,XL,679,1039,Gray
Accessories,Gloves,North,Pennsylvania,2023-09-04,Accessories Gloves,5248,357.56,43.89,40.34,S,674,855,Red
Accessories,Necklaces,East,Texas,2022-10-05,Accessories Necklaces,4232,275.39,63.68,32.98,S,598,980,Purple
Clothes,Coats,South,Georgia,2023-04-20,Clothes Coats,1564,105.16,20.06,8.28,S,649,835,Purple
Clothes,Shorts,North,North Carolina,2022-04-23,Clothes Shorts,8270,333.16,99.43,35.21,S,550,860,Gray
Shoes,Sneakers,North,North Carolina,2022-06-27,Shoes Sneakers,6896,307.82,41.71,23.84,XL,523,800,Black
Shoes,Skate Shoes,West,New York,2023-06-11,Shoes Skate Shoes,6775,19.07,3.63,3.73,XL,504,1023,Yellow
Accessories,Hats,East,Georgia,2022-02-19,Accessories Hats,5655,162.13,35.04,17.55,XL,500,916,Red
Clothes,Shirts,West,Michigan,2022-02-13,Clothes Shirts,3778,337.21,41.78,42.5,XL,644,959,Pink
Clothes,Pajamas,East,North Carolina,2022-07-12,Clothes Pajamas,7720,494.59,97.55,92.3,M,680,1041,White
Clothes,Jeans,West,Ohio,2022-04-30,Clothes Jeans,2979,242.18,66.29,22.39,S,645,1065,Black
Accessories,Ties,West,Illinois,2023-10-29,Accessories Ties,4679,175.05,41.9,30.12,XL,557,914,Orange
Accessories,Sunglasses,West,California,2023-02-20,Accessories Sunglasses,4868,89.77,18.82,9.37,L,634,1080,Gray
Accessories,Watches,North,North Carolina,2023-01-06,Accessories Watches,5407,180.18,36.71,23.57,M,528,941,Red
Shoes,Cycling Shoes,North,Pennsylvania,2022-03-13,Shoes Cycling Shoes,4306,73.93,18.01,7.78,S,663,893,Red
Clothes,Shirts,West,Texas,2023-10-10,Clothes Shirts,3815,41.01,10.66,5.16,L,670,950,Blue
Shoes,Sneakers,South,Florida,2022-05-03,Shoes Sneakers,8639,346.42,41.11,36.78,M,541,1090,Pink
Clothes,Jeans,East,Ohio,2023-11-08,Clothes Jeans,5015,195.83,39.48,26.0,XL,655,844,Gray
Shoes,Running Shoes,North,North Carolina,2022-02-03,Shoes Running Shoes,6384,51.62,15.46,7.95,S,632,1081,Purple
Clothes,Jackets,East,Illinois,2023-01-02,Clothes Jackets,3455,22.86,4.9,3.9,M,528,974,Orange
Accessories,Scarves,East,Ohio,2022-02-27,Accessories Scarves,5277,115.18,32.71,19.95,L,607,1032,Black
Clothes,Underwear,South,California,2023-02-03,Clothes Underwear,9468,418.6,97.54,83.47,M,668,910,Blue
Clothes,Shirts,South,Georgia,2023-01-03,Clothes Shirts,6091,398.65,108.63,79.31,S,538,816,Black
Clothes,Dresses,West,Texas,2022-04-10,Clothes Dresses,3519,12.01,2.92,0.66,M,571,1093,Purple
Shoes,Basketball Shoes,East,Florida,2023-08-28,Shoes Basketball Shoes,3900,27.23,7.56,2.21,M,580,1044,Pink
Clothes,Jeans,East,Pennsylvania,2022-12-07,Clothes Jeans,5675,54.7,13.79,2.97,S,681,892,Yellow
Shoes,Golf Shoes,South,North Carolina,2022-12-05,Shoes Golf Shoes,7572,203.49,30.99,11.58,S,655,923,Red
Accessories,Scarves,East,California,2023-02-27,Accessories Scarves,8814,497.58,97.77,36.05,M,629,954,Green
Clothes,Trousers,North,Michigan,2023-06-23,Clothes Trousers,9574,265.62,74.52,26.52,XL,543,900,White
Clothes,Underwear,East,Texas,2022-07-06,Clothes Underwear,7516,211.13,45.3,27.69,S,659,975,Green
Clothes,Shirts,North,North Carolina,2023-08-15,Clothes Shirts,1622,424.19,68.18,57.91,M,675,974,Red
Clothes,Coats,North,North Carolina,2023-01-04,Clothes Coats,8305,143.12,35.4,26.31,XL,554,952,Black
Shoes,Sneakers,North,Illinois,2023-01-11,Shoes Sneakers,1120,32.86,6.66,5.66,XL,532,966,White
Clothes,Shorts,West,New York,2023-02-13,Clothes Shorts,3605,248.38,34.48,27.63,M,617,982,Red
Shoes,Slippers,West,California,2022-03-26,Shoes Slippers,7140,275.51,72.63,16.75,S,538,1049,Blue
Shoes,Soccer Shoes,North,North Carolina,2023-09-01,Shoes Soccer Shoes,8473,221.27,54.28,23.41,M,638,1035,Gray
Shoes,Tennis Shoes,East,Ohio,2023-04-02,Shoes Tennis Shoes,9865,331.54,69.12,60.02,L,533,992,Purple
Accessories,Scarves,South,Michigan,2023-08-16,Accessories Scarves,7234,132.37,20.99,12.31,L,692,1093,White
Clothes,Coats,South,North Carolina,2023-10-07,Clothes Coats,7139,85.51,19.62,16.73,S,596,1021,White
Accessories,Necklaces,North,Michigan,2022-09-23,Accessories Necklaces,1280,46.55,5.7,6.71,L,611,832,Blue
Accessories,Bags,North,Ohio,2023-10-19,Accessories Bags,5060,203.37,51.27,25.67,S,610,1078,Blue
Accessories,Keychains,South,Ohio,2023-09-14,Accessories Keychains,2451,107.73,12.94,7.92,S,570,1039,Yellow
Accessories,Umbrellas,West,New York,2022-01-31,Accessories Umbrellas,2628,59.94,15.31,3.84,XL,608,1080,Black
Accessories,Headbands,North,Florida,2022-06-27,Accessories Headbands,1100,89.7,11.22,11.87,S,582,869,Gray
Clothes,Jeans,North,Georgia,2022-10-02,Clothes Jeans,2960,79.39,16.14,7.38,S,608,840,Yellow
Accessories,Belts,East,Georgia,2022-01-27,Accessories Belts,9862,337.1,39.48,63.18,S,663,834,Green
Accessories,Gloves,North,Texas,2022-06-08,Accessories Gloves,6466,102.46,27.59,8.34,XL,606,925,Green
Accessories,Umbrellas,South,Ohio,2023-05-23,Accessories Umbrellas,5655,316.2,37.55,33.36,L,683,946,Yellow
Accessories,Headbands,North,New York,2022-03-27,Accessories Headbands,7624,83.61,11.66,9.01,XL,602,972,Blue
Shoes,Boots,South,California,2022-01-03,Shoes Boots,3337,364.24,104.62,50.28,S,605,962,Gray
Clothes,Shirts,East,North Carolina,2023-02-15,Clothes Shirts,9286,452.04,57.94,71.43,L,612,981,Gray
Shoes,Basketball Shoes,East,New York,2023-09-03,Shoes Basketball Shoes,1564,367.07,80.08,72.02,XL,557,1067,Yellow
Shoes,Skate Shoes,West,Ohio,2022-10-03,Shoes Skate Shoes,1729,498.53,51.02,68.14,S,554,993,Green
Clothes,Blouses,South,California,2022-09-18,Clothes Blouses,7961,31.07,9.04,3.65,XL,669,868,Gray
Clothes,Leggings,East,Ohio,2022-05-18,Clothes Leggings,9472,182.89,53.67,24.01,M,515,1003,Green
Shoes,Cycling Shoes,East,Michigan,2022-10-05,Shoes Cycling Shoes,8916,348.13,98.03,23.02,S,578,917,Purple
Clothes,Coats,South,Illinois,2023-04-17,Clothes Coats,3490,132.45,25.61,11.9,XL,637,985,Black
Clothes,Pajamas,West,Michigan,2023-03-20,Clothes Pajamas,3139,498.0,112.92,45.53,XL,662,1047,Pink
Clothes,Pajamas,South,Michigan,2022-04-03,Clothes Pajamas,2388,15.47,2.89,1.37,M,639,885,Pink
Clothes,Jackets,South,Ohio,2022-01-04,Clothes Jackets,2412,467.22,87.22,69.75,XL,651,834,Yellow
Accessories,Wallets,West,California,2023-06-30,Accessories Wallets,1017,171.84,25.96,16.88,M,607,878,Pink
Shoes,Golf Shoes,North,Michigan,2022-06-02,Shoes Golf Shoes,2880,104.93,14.63,14.07,L,690,1013,Orange
Accessories,Socks,South,Michigan,2022-07-28,Accessories Socks,1602,197.65,23.87,39.34,S,578,1057,Red
Clothes,Pajamas,West,New York,2022-10-05,Clothes Pajamas,2932,209.39,25.04,38.85,S,652,849,White
Clothes,Coats,East,Ohio,2022-02-22,Clothes Coats,3870,151.96,45.3,9.79,L,689,1042,Black
Clothes,Skirts,East,Georgia,2023-07-23,Clothes Skirts,1790,52.76,9.78,8.87,M,698,915,Yellow
Shoes,Loafers,East,Michigan,2022-05-25,Shoes Loafers,1991,157.28,30.23,23.98,L,546,827,Pink
Accessories,Watches,East,Michigan,2023-06-22,Accessories Watches,5311,322.52,45.33,22.33,M,697,839,Blue
Shoes,Running Shoes,North,North Carolina,2023-12-30,Shoes Running Shoes,9420,212.73,49.59,40.06,L,621,993,Blue
Accessories,Belts,North,Georgia,2022-02-05,Accessories Belts,7824,448.08,58.17,61.25,M,641,892,Blue
Accessories,Belts,East,Florida,2022-12-15,Accessories Belts,3673,381.39,66.64,22.28,M,586,987,Yellow
Shoes,Tennis Shoes,South,California,2022-04-26,Shoes Tennis Shoes,1920,192.11,51.69,37.43,S,583,858,Orange
Clothes,Underwear,North,Michigan,2023-06-10,Clothes Underwear,4459,366.25,80.65,29.72,L,557,867,Blue
Shoes,Cycling Shoes,East,Ohio,2022-07-21,Shoes Cycling Shoes,3870,316.74,36.69,46.97,S,582,952,White
Shoes,Heels,North,Pennsylvania,2023-07-15,Shoes Heels,6616,363.09,54.66,46.4,L,590,1044,Orange
Accessories,Gloves,North,California,2023-01-12,Accessories Gloves,4909,202.75,50.85,21.46,XL,501,813,White
Accessories,Hats,North,New York,2022-02-12,Accessories Hats,7607,177.39,36.27,11.55,M,671,1040,Gray
Shoes,Cycling Shoes,North,Texas,2023-09-04,Shoes Cycling Shoes,3174,11.26,1.33,2.16,M,517,856,Green
Shoes,Hiking Boots,South,Texas,2022-08-24,Shoes Hiking Boots,5528,336.45,72.58,57.53,S,528,1064,Black
Accessories,Watches,North,New York,2022-05-04,Accessories Watches,2442,174.16,34.83,17.99,XL,598,874,Red
Clothes,Shorts,East,California,2022-05-16,Clothes Shorts,8343,239.72,44.21,26.16,S,588,816,Red
Clothes,Pajamas,West,Georgia,2023-09-13,Clothes Pajamas,9601,157.26,39.2,11.64,XL,625,868,Pink
Clothes,Underwear,South,North Carolina,2022-04-24,Clothes Underwear,1275,198.99,58.32,16.13,XL,643,1074,Pink
Clothes,Pajamas,West,Ohio,2023-03-31,Clothes Pajamas,6154,69.92,14.17,11.66,L,620,1072,Yellow
Shoes,Flats,South,Michigan,2023-01-24,Shoes Flats,6056,489.82,62.21,67.71,S,505,801,White
Clothes,Shorts,West,Illinois,2023-07-07,Clothes Shorts,5199,411.46,66.69,61.09,S,660,1013,Blue
Clothes,Blouses,North,Pennsylvania,2022-03-08,Clothes Blouses,5576,41.43,9.32,7.71,XL,612,969,Green
Accessories,Bags,North,Florida,2022-11-19,Accessories Bags,6635,324.58,49.57,57.78,M,577,1050,Red
Shoes,Basketball Shoes,North,Georgia,2023-09-27,Shoes Basketball Shoes,5029,342.51,99.58,43.77,S,685,831,Purple
Clothes,Skirts,North,Georgia,2022-12-23,Clothes Skirts,3890,119.63,16.49,6.29,XL,667,1016,Orange
Clothes,Coats,East,Texas,2022-01-09,Clothes Coats,7464,405.12,88.9,25.46,L,528,1036,Pink
Clothes,Shorts,South,Florida,2023-01-24,Clothes Shorts,2333,319.32,92.98,31.03,S,654,1067,Blue
Accessories,Necklaces,South,North Carolina,2022-08-02,Accessories Necklaces,4538,417.92,67.24,23.88,XL,560,1012,Pink
Shoes,Basketball Shoes,North,California,2023-04-19,Shoes Basketball Shoes,3406,157.56,29.48,29.87,S,698,993,White
Accessories,Necklaces,North,New York,2022-07-09,Accessories Necklaces,3725,258.51,29.66,32.18,L,504,1079,Purple
Shoes,Basketball Shoes,South,Illinois,2023-01-22,Shoes Basketball Shoes,3334,414.95,68.56,51.78,XL,575,1089,White
Shoes,Sandals,North,Pennsylvania,2023-03-10,Shoes Sandals,5365,386.4,58.07,29.28,L,528,1029,Green
Accessories,Bags,East,Pennsylvania,2023-11-28,Accessories Bags,3950,89.61,13.53,15.39,S,560,1020,Gray
Shoes,Running Shoes,West,Florida,2022-03-10,Shoes Running Shoes,5111,95.67,18.27,17.62,XL,574,1096,Green
Clothes,Suits,North,California,2023-10-13,Clothes Suits,7680,167.15,49.39,26.41,S,624,884,Orange
Accessories,Watches,West,Georgia,2022-10-28,Accessories Watches,8503,337.28,35.38,66.64,S,681,1025,Yellow
Accessories,Socks,North,California,2022-12-13,Accessories Socks,8954,109.69,28.86,20.15,L,665,812,Black
Shoes,Heels,South,Ohio,2022-04-08,Shoes Heels,2878,184.06,50.79,15.33,S,533,800,Yellow
Accessories,Scarves,West,Texas,2022-03-06,Accessories Scarves,2283,47.64,6.5,2.73,S,522,961,Red
Clothes,Coats,East,Georgia,2023-06-30,Clothes Coats,6952,384.58,71.78,30.22,M,527,969,Gray
Accessories,Wallets,North,Georgia,2023-04-11,Accessories Wallets,2276,484.7,117.62,26.91,M,580,1080,Blue
Accessories,Scarves,North,North Carolina,2022-04-07,Accessories Scarves,1239,310.47,59.09,46.38,L,661,882,Yellow
Accessories,Watches,East,Illinois,2023-01-15,Accessories Watches,1612,80.81,12.13,7.49,XL,612,1008,Red
